record,wijk,wachtlijst_voor,bijgewerkt,aantal_aanmeldingen,aanmelddatum_eerstvolgende
1,Wittevrouwen,vergunning bewoner,12 december 2024,110,26-05-2024
2,Wittevrouwen,vergunning bewoner,12 december 2024,96,02-07-2024
3,Wittevrouwen,vergunning bewoner,9 januari 2025,96,02-07-2024
4,Wittevrouwen,vergunning bewoner,14 februari 2025,74,30-09-2024
5,Wittevrouwen,vergunning bewoner,5 maart 2025,83,11-10-2024
6,Wittevrouwen,vergunning bewoner,17 april 2025,89,31-10-2024
7,Wittevrouwen,vergunning bewoner,6 mei 2025,98,31-10-2024
8,Wittevrouwen,vergunning bewoner,22 mei 2025,95,17-11-2024
9,Wittevrouwen,vergunning bewoner,6 juni 2025,95,22-11-2024
10,Wittevrouwen,vergunning bewoner,24 juni 2025,97,03-12-2024
11,Wittevrouwen,vergunning bewoner,10 juli 2025,104,03-12-2024
